Local time,Open,High,Low,Close,Volume
11.09.2024 20:00:00.000 GMT+0200,174.287,174.577,174.046,174.407,185.3207
11.09.2024 21:00:00.000 GMT+0200,174.397,174.487,173.496,173.687,324.2505
11.09.2024 22:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
11.09.2024 23:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 00:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 01:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 02:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 03:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 04:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 05:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 06:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 07:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 08:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 09:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 10:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 11:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 12:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 13:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 14:00:00.000 GMT+0200,173.687,173.687,173.687,173.687,0
12.09.2024 15:00:00.000 GMT+0200,173.496,174.527,173.007,173.086,145.2342
12.09.2024 16:00:00.000 GMT+0200,173.117,173.667,172.446,172.737,258.3414
12.09.2024 17:00:00.000 GMT+0200,172.767,173.006,172.566,172.666,172.2153
12.09.2024 18:00:00.000 GMT+0200,172.667,173.257,172.406,173.207,128.6162
12.09.2024 19:00:00.000 GMT+0200,173.206,173.767,173.187,173.516,102.8063
12.09.2024 20:00:00.000 GMT+0200,173.517,173.847,173.356,173.757,108.0216
12.09.2024 21:00:00.000 GMT+0200,173.766,173.947,172.966,173.487,222.3837
12.09.2024 22:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
12.09.2024 23:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 00:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 01:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 02:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 03:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 04:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 05:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 06:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 07:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 08:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 09:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 10:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 11:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 12:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 13:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 14:00:00.000 GMT+0200,173.487,173.487,173.487,173.487,0
13.09.2024 15:00:00.000 GMT+0200,173.146,174.417,172.247,174.286,109.6207
13.09.2024 16:00:00.000 GMT+0200,174.286,174.487,173.736,174.267,199.3369
13.09.2024 17:00:00.000 GMT+0200,174.237,174.447,173.996,174.117,156.6135
13.09.2024 18:00:00.000 GMT+0200,174.116,174.257,173.736,173.887,122.3117
13.09.2024 19:00:00.000 GMT+0200,173.887,174.176,173.846,173.896,96.4072
13.09.2024 20:00:00.000 GMT+0200,173.886,174.077,173.646,173.706,120.0063
13.09.2024 21:00:00.000 GMT+0200,173.706,174.237,173.636,174.047,125.8351
13.09.2024 22:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
13.09.2024 23:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 00:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 01:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 02:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 03:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 04:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 05:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 06:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 07:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 08:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 09:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 10:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 11:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 12:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 13:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 14:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 15:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 16:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 17:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 18:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 19:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 20:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 21:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 22:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
14.09.2024 23:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
15.09.2024 00:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
15.09.2024 01:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
15.09.2024 02:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
15.09.2024 03:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
15.09.2024 04:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
15.09.2024 05:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
15.09.2024 06:00:00.000 GMT+0200,174.047,174.047,174.047,174.047,0
