Local time,Open,High,Low,Close,Volume
23.07.2022 23:00:00.000 GMT+0200,3959.099,3959.099,3959.099,3959.099,0
24.07.2022 23:00:00.000 GMT+0200,3959.439,3985.299,3943.142,3970.548,220.69679999999997
25.07.2022 23:00:00.000 GMT+0200,3955.431,3961.354,3910.242,3928.651,182.56769999999997
26.07.2022 23:00:00.000 GMT+0200,3936.333,4040.154,3936.333,4013.033,205.17849999999999
27.07.2022 23:00:00.000 GMT+0200,4018.148,4086.099,3991.445,4078.645,207.52389999999997
28.07.2022 23:00:00.000 GMT+0200,4098.539,4140.999,4078.145,4129.248,191.0904
29.07.2022 23:00:00.000 GMT+0200,4129.248,4129.248,4129.248,4129.248,0
30.07.2022 23:00:00.000 GMT+0200,4129.248,4129.248,4129.248,4129.248,0
31.07.2022 23:00:00.000 GMT+0200,4132.333,4145.299,4094.631,4120.651,206.15659999999997
01.08.2022 23:00:00.000 GMT+0200,4119.251,4140.597,4078.754,4090.442,246.4317
02.08.2022 23:00:00.000 GMT+0200,4095.254,4167.952,4082.239,4151.342,197.31780000000003
03.08.2022 23:00:00.000 GMT+0200,4150.439,4170.799,4134.645,4151.399,207.8877
04.08.2022 23:00:00.000 GMT+0200,4150.336,4164.051,4101.554,4139.939,207.7832
05.08.2022 23:00:00.000 GMT+0200,4139.939,4139.939,4139.939,4139.939,0
06.08.2022 23:00:00.000 GMT+0200,4139.939,4139.939,4139.939,4139.939,0
07.08.2022 23:00:00.000 GMT+0200,4147.151,4186.799,4128.142,4143.599,177.63590000000002
08.08.2022 23:00:00.000 GMT+0200,4146.899,4153.399,4111.239,4126.142,167.6679
09.08.2022 23:00:00.000 GMT+0200,4126.631,4211.099,4111.951,4205.933,162.1492
10.08.2022 23:00:00.000 GMT+0200,4206.937,4257.554,4200.451,4212.548,163.8002
11.08.2022 23:00:00.000 GMT+0200,4215.239,4279.654,4205.333,4275.533,134.8264
12.08.2022 23:00:00.000 GMT+0200,4275.533,4275.533,4275.533,4275.533,0
13.08.2022 23:00:00.000 GMT+0200,4275.533,4275.533,4275.533,4275.533,0
14.08.2022 23:00:00.000 GMT+0200,4274.848,4300.848,4245.936,4292.299,114.16820000000001
15.08.2022 23:00:00.000 GMT+0200,4291.439,4325.699,4275.851,4301.236,131.42069999999998
16.08.2022 23:00:00.000 GMT+0200,4308.845,4312.339,4252.533,4278.299,186.7269
17.08.2022 23:00:00.000 GMT+0200,4274.251,4292.199,4254.739,4281.236,161.51780000000008
18.08.2022 23:00:00.000 GMT+0200,4283.742,4284.554,4218.154,4228.051,144.91660000000002
19.08.2022 23:00:00.000 GMT+0200,4228.051,4228.051,4228.051,4228.051,0
20.08.2022 23:00:00.000 GMT+0200,4228.051,4228.051,4228.051,4228.051,0
21.08.2022 23:00:00.000 GMT+0200,4214.433,4218.149,4129.048,4141.951,165.63869999999997
22.08.2022 23:00:00.000 GMT+0200,4143.999,4159.099,4115.133,4127.133,191.51309999999998
23.08.2022 23:00:00.000 GMT+0200,4126.248,4156.548,4108.699,4144.642,166.80129999999997
24.08.2022 23:00:00.000 GMT+0200,4146.799,4201.251,4141.199,4192.754,146.8311
25.08.2022 23:00:00.000 GMT+0200,4196.948,4215.499,4052.336,4056.854,209.7123
26.08.2022 23:00:00.000 GMT+0200,4056.854,4056.854,4056.854,4056.854,0
27.08.2022 23:00:00.000 GMT+0200,4056.854,4056.854,4056.854,4056.854,0
28.08.2022 23:00:00.000 GMT+0200,4026.957,4063.154,4006.199,4030.736,243.1926
29.08.2022 23:00:00.000 GMT+0200,4034.439,4071.499,3964.233,3989.933,245.85420000000002
30.08.2022 23:00:00.000 GMT+0200,3986.545,4016.699,3952.136,3958.648,287.5202
31.08.2022 23:00:00.000 GMT+0200,3957.539,3970.351,3902.154,3959.536,286.9796
01.09.2022 23:00:00.000 GMT+0200,3966.945,4018.554,3905.542,3928.748,284.26939999999996
02.09.2022 23:00:00.000 GMT+0200,3928.748,3928.748,3928.748,3928.748,0
03.09.2022 23:00:00.000 GMT+0200,3928.748,3928.748,3928.748,3928.748,0
04.09.2022 23:00:00.000 GMT+0200,3928.842,3941.799,3914.742,3935.345,143.8649
05.09.2022 23:00:00.000 GMT+0200,3935.799,3961.597,3885.848,3905.839,294.59860000000003
06.09.2022 23:00:00.000 GMT+0200,3907.451,3988.197,3883.039,3976.339,264.8332
07.09.2022 23:00:00.000 GMT+0200,3982.451,4010.799,3941.748,4009.651,273.8855
08.09.2022 23:00:00.000 GMT+0200,4009.899,4076.799,4005.636,4064.151,166.6558
09.09.2022 23:00:00.000 GMT+0200,4064.151,4064.151,4064.151,4064.151,0
10.09.2022 23:00:00.000 GMT+0200,4064.151,4064.151,4064.151,4064.151,0
11.09.2022 23:00:00.000 GMT+0200,4081.248,4119.299,4062.136,4113.342,222.89979999999997
12.09.2022 23:00:00.000 GMT+0200,4118.233,4154.939,3919.936,3936.333,258.91439999999994
13.09.2022 23:00:00.000 GMT+0200,3936.933,3962.251,3910.236,3945.633,295.6075000000001
14.09.2022 23:00:00.000 GMT+0200,3952.031,3958.252,3887.345,3905.542,247.7523
15.09.2022 23:00:00.000 GMT+0200,3884.199,3884.799,3835.846,3877.051,250.3492
16.09.2022 23:00:00.000 GMT+0200,3877.051,3877.051,3877.051,3877.051,0
17.09.2022 23:00:00.000 GMT+0200,3877.051,3877.051,3877.051,3877.051,0
18.09.2022 23:00:00.000 GMT+0200,3874.436,3910.148,3828.845,3902.348,248.23720000000003
19.09.2022 23:00:00.000 GMT+0200,3906.145,3919.354,3826.748,3862.836,224.42090000000002
